Paper_ID;PreProcessed;Original
0;Second, prior results are mostly based on single studies; thus, the generalizability of the observations is likely limited.;﻿second prior result be mostly base on single study thus the generalizability of the observation be likely limited
0;Here, we conduct three independent studies utilizing different contexts and populations to cross-validate that negative emo- tion consistently influences mouse cursor movements.;﻿here we conduct three independent study utilize different context and population to cross validate that negative emotion consistently influence mouse cursor movement
0;In Study 1, we examine whether negative emotion influences users’ mouse cursor movements; in Study 2, we examine whether mouse cursor movements can be used to infer the presence of negative emotion; and in Study 3, we examine whether mouse cursor movements can be used to infer the level of negative emotion that users experience.;﻿in study we examine whether negative emotion influence user mouse cursor movement in study we examine whether mouse cursor movement can be use to infer the presence of negative emotion and in study we examine whether mouse cursor movement can be use to infer the level of negative emotion that user experience
0;Taken together, we demonstrate that mouse cursor movements can be used to infer negative emotion in realistic e-commerce settings.;﻿take together we demonstrate that mouse cursor movement can be use to infer negative emotion in realistic e commerce setting
0;Drawing on ACT, we hypothesize how negative emotion will decrease attentional control and thereby influence two characteristics of users’ mouse cursor movements: movement distance and speed.;﻿draw on act we hypothesize how negative emotion will decrease attentional control and thereby influence two characteristic of user mouse cursor movement movement distance and speed
0;As ACT explains how negative emotion “impairs efficient functioning of the goal-directed attentional system”, the scope of our hypotheses is to explain the relationship between negative emotion and movements in goal-directed tasks.;﻿as act explain how negative emotion impair efficient functioning of the goal direct attentional system the scope of our hypothesis be to explain the relationship between negative emotion and movement in goal direct task
0;Goal-directed tasks refer to activities that are motivated by goal attainment rather than the interaction itself, and the user’s reward is primarily realized by efficiently accomplishing the goal, rather than the journey of accomplishing the goal.;﻿goal direct task refer to activity that be motivate by goal attainment rather than the interaction itself and the user reward be primarily realize by efficiently accomplish the goal rather than the journey of accomplish the goal
0;Searching for specific information, paying a bill, or navigating through a checkout process are examples of online goal-directed tasks .;﻿search for specific information pay a bill or navigate through a checkout process be example of online goal direct task
0;In goal-directed tasks, mouse cursor movements are characterized by structured, efficient, linear search patterns (for example, moving the mouse cursor from a starting point to a specific target in an effort to accomplish a goal as efficiently as possible).;﻿in goal direct task mouse cursor movement be characterize by structured efficient linear search pattern for example move the mouse cursor from a starting point to a specific target in an effort to accomplish a goal as efficiently as possible
0;Examples of Relevant Literature Linking Emotions to Hand and Mouse Cursor Movements Negative emotion induced by pictures results in greater motor evoked potentials (neuroelectrical signals on the muscles) than emotion induced by neutral and pleasant pictures.;﻿example of relevant literature link emotion to hand and mouse cursor movement negative emotion induce by picture result in greater motor evoke potential neuroelectrical signal on the muscle than emotion induce by neutral and pleasant picture
0;No differences were found between pleasant and neutral pictures.;﻿no difference be find between pleasant and neutral picture
0;Coelho 2010 People viewing emotional images subconsciously produce greater force in the hand compared to people viewing neutral images.;﻿coelho people view emotional image subconsciously produce greater force in the hand compare to people view neutral image
0;Coombes 2008 People with high behavioral inhibition display a relative increase in unconscious force production during exposure to attack and mutilation images.;﻿coombe people with high behavioral inhibition display a relative increase in unconscious force production during exposure to attack and mutilation image
0;Coombes 2011 People viewing negative-emotion inducing images display greater direction changes, distance, and slower mouse cursor speed while self-reporting their emotional state.;﻿coomb people view negative emotion inducing image display greater direction change distance and slower mouse cursor speed while self report their emotional state
0;Arousal further elevates direction changes and distance.;﻿arousal further elevate direction change and distance
0;Grimes 2013 Emotional changes can be inferred from mouse cursor movements, including changes in precision, smoothness, speed, and acceleration.;﻿grime emotional change can be infer from mouse cursor movement include change in precision smoothness speed and acceleration
0;People viewing emotional images subconsciously produce greater force in the hand compared to people viewing neutral images.;﻿people view emotional image subconsciously produce greater force in the hand compare to people view neutral image
0;However, emotional images do not increase variability of force production compared to neutral images.;﻿however emotional image do not increase variability of force production compare to neutral image
0;Naugle 2012 Ninety-six mouse indicators are correlated with self-reported emotional valance and arousal.;﻿naugle ninety six mouse indicator be correlate with self report emotional valance and arousal
0;Salmeron-Majadas Stiffness resulting from stress influences mouse movements.;﻿salmeron majadas stiffness result from stress influence mouse movement
0;Sun 2014 Stress increases the amplitude and decreases the latency of motor evoked potentials and increases the ratio of motor evoked potentials to background electromyography.;﻿sun stress increase the amplitude and decrease the latency of motor evoke potential and increase the ratio of motor evoke potential to background electromyography
0;From a behavioral perspective, the level of corticospinal motor tract excitability under stress is correlated with a decrease in performance of fine motor skills.;﻿from a behavioral perspective the level of corticospinal motor tract excitability under stress be correlate with a decrease in performance of fine motor skill
0;Tanaka 2012 The amplitudes of motor evoked potentials are typically increased when viewing negatively valenced images.;﻿tanaka the amplitude of motor evoke potential be typically increase when view negatively valenced image
0;van Loon 2010 Systems should monitor mouse movement deviations to infer negative emotion.;﻿van loon system should monitor mouse movement deviation to infer negative emotion
0;Weinmann 2013 Mood states are correlated with the number and duration of clicks, distance of movements, pauses, direction changes, speed, and keystroke dynamics.;﻿weinmann mood state be correlate with the number and duration of click distance of movement pause direction change speed and keystroke dynamic
0;Zimmermann 2006 Zimmermann 2003 Negative Emotion and Mouse We propose that negative emotion will decrease the precision of users’ movements and thereby increase the distance users travel with the mouse cursor to accomplish a goal-directed task.;﻿zimmermann zimmermann negative emotion and mouse we propose that negative emotion will decrease the precision of user movement and thereby increase the distance user travel with the mouse cursor to accomplish a goal direct task
0;As discussed, ACT explains that negative emotion deters the attentional shifting and inhibition functions of the brain.;﻿as discuss act explain that negative emotion deter the attentional shifting and inhibition function of the brain
0;People are less able to focus their attention on the most relevant stimuli (that is, the destination of the movement), and focus their attention more broadly on stimuli in the environ- ment.;﻿people be less able to focus their attention on the most relevant stimulus that is the destination of the movement and focus their attention more broadly on stimulus in the environment
0;As a result, distracting stimuli not related to one’s intended movement are more likely to catch one’s attention.;﻿as a result distract stimulus not relate to one intend movement be more likely to catch one attention
0;These distracting stimuli will influence the precision of movements because “attention and action are intimately linked”.;﻿these distract stimulus will influence the precision of movement because attention and action be intimately link
0;Visually pro- cessing a stimulus, consciously programing a movement response to the stimulus, and then making the movement can take several hundreds of milliseconds or longer for the brain to execute.;﻿visually process a stimulus consciously program a movement response to the stimulus and then make the movement can take several hundred of millisecond or longer for the brain to execute
0;To facilitate more efficient movements, the brain anticipatorily programs movements to stimuli that capture a user’s attention during movement.;﻿to facilitate more efficient movement the brain anticipatorily program movement to stimulus that capture a user attention during movement
0;This preprograming of movements occurs in the brain automati- cally, subconsciously, and simultaneously in response to all stimuli that capture a person’s attention, even if only briefly .;﻿this preprograming of movement occur in the brain automatically subconsciously and simultaneously in response to all stimulus that capture a person attention even if only briefly
0;This way, if a user does decide to move toward a stimulus, programing is already underway to facilitate a more efficient movement.;﻿this way if a user do decide to move toward a stimulus programing be already underway to facilitate a more efficient movement
0;The actual hand movement that occurs is a function of both one’s consciously intended movement and the subconscious programed movements toward other stimuli.;﻿the actual hand movement that occur be a function of both one consciously intend movement and the subconscious program movement toward other stimulus
0;For example, if one intends to move the mouse straight to a target, and the brain has subconsciously programed movements toward other distracting stimuli, these primed subconscious movements will influence the actual movement, and the resulting move- Figure 1.;﻿for example if one intend to move the mouse straight to a target and the brain have subconsciously program movement toward other distract stimulus these prim subconscious movement will influence the actual movement and the result move figure
0;Example Mouse Cursor Trajectory Under the Influence of Negative Emotion ment will deviate from one’s intended trajectory.;﻿example mouse cursor trajectory under the influence of negative emotion ment will deviate from one intend trajectory
0;One’s fine motor movements—movement of the fingers or hands—are especially vulnerable to these actions that are primed by negative emotion.;﻿one fine motor movement movement of the finger or hand be especially vulnerable to these action that be prim by negative emotion
0;As deviations occur, one’s mouse cursor is likely to travel a greater distance, as the movement deviates from the most direct path when experi- encing negative emotion (see Figure 1).;﻿as deviation occur one mouse cursor be likely to travel a greater distance as the movement deviate from the most direct path when experience negative emotion see figure
0;Thus, we propose our first hypothesis: H1: Experiencing negative emotion will increase overall mouse cursor distance.;﻿thus we propose our first hypothesis h experience negative emotion will increase overall mouse cursor distance
0;Negative Emotion and Mouse We also propose that negative emotion will decrease the average speed of users’ mouse cursor movements in goal- directed tasks.;﻿negative emotion and mouse we also propose that negative emotion will decrease the average speed of user mouse cursor movement in goal direct task
0;Recall that negative emotion causes people to distribute their attention more broadly.;﻿recall that negative emotion cause people to distribute their attention more broadly
0;ACT explains that this broader attentional focus reduces the processing and storage capacity of working memory.;﻿act explain that this broader attentional focus reduce the processing and storage capacity of work memory
0;Uns- worth and Spillers (2010, pp.;﻿un worth and spiller pp
0;392-393) explain that “attention and working memory are intimately related....attention control and the scope or size of the focus of attention are important components of working memory.” Lower attentional control under conditions of negative emotion allows more stimuli to capture attention, which utilizes more working memory, leaving less for the primary task.;﻿explain that attention and working memory be intimately relate attention control and the scope or size of the focus of attention be important component of work memory lower attentional control under condition of negative emotion allow more stimulus to capture attention which utilize more work memory leave less for the primary task
0;Decreased working memory capacity due to negative emotion has been robustly shown to influence people’s reaction time .;﻿decrease work memory capacity due to negative emotion have be robustly show to influence people reaction time
0;When working memory is consumed or split between multiple tasks, people must engage in “compensatory strategies” to complete their active tasks—that is, alterations in resource allocation and performance to complete tasks in suboptimal conditions .;﻿when work memory be consume or split between multiple task people must engage in compensatory strategy to complete their active task that is alteration in resource allocation and performance to complete task in suboptimal condition
0;One common compensatory strategy for lower working memory is to respond more slowly, allowing the brain a longer period of time to execute the task.;﻿one common compensatory strategy for lower work memory be to respond more slowly allow the brain a longer period of time to execute the task
0;From a neurological perspec- tive, when working memory is low because several stimuli are competing for attention, the brain gives each stimulus a portion of working memory for a short period of time (much like multithreading on computers).;﻿from a neurological perspective when work memory be low because several stimulus be compete for attention the brain give each stimulus a portion of work memory for a short period of time much like multithread on computer
0;However, because the brain must switch cognitive resources among multiple competing stimuli, it will take longer to complete tasks and slow reaction time for tasks.;﻿however because the brain must switch cognitive resource among multiple compete stimulus it will take longer to complete task and slow reaction time for task
0;Reaction time influences mouse cursor speed.;﻿reaction time influence mouse cursor speed
0;When directing the mouse cursor to a destination, the brain pro- cesses corrections to the movement trajectory based on con- tinuous visual input to ultimately reach the destination.;﻿when direct the mouse cursor to a destination the brain process correction to the movement trajectory base on continuous visual input to ultimately reach the destination
0;These corrective movements are dependent on hand-eye coordination reaction time (that is, processing visual inputs and making adjustments to reach the target).;﻿these corrective movement be dependent on hand eye coordination reaction time that is process visual input and make adjustment to reach the target
0;Slower reaction time (that is, taking longer to process visual inputs and program adjustments) inhibits one’s ability to make corrections that will ultimately reach the target.;﻿slower reaction time that is take longer to process visual input and program adjustment inhibit one ability to make correction that will ultimately reach the target
0;Because the user must nonetheless reach the target, the body subconsciously compensates for slower reaction time by reducing movement speed.;﻿because the user must nonetheless reach the target the body subconsciously compensate for slower reaction time by reduce movement speed
0;Doing so gives the brain more time to perceive and program needed adjust- ments.;﻿do so give the brain more time to perceive and program need adjustment
0;In other words, under conditions of low attentional control and thereby slower reaction times (due to experiencing negative emotion), the brain requires additional time to perceptually guide mouse cursor movements to a target, which will result in slower speed (see Figure 2).;﻿in other word under condition of low attentional control and thereby slower reaction time due to experience negative emotion the brain require additional time to perceptually guide mouse cursor movement to a target which will result in slower speed see figure
0;Thus, we propose our second hypothesis: H2: Experiencing negative emotion will decrease average mouse cursor speed.;﻿thus we propose our second hypothesis h experience negative emotion will decrease average mouse cursor speed
0;Relationship Between Negative Emotion, Reaction Time, and Mouse Cursor Speed We conducted three studies.;﻿relationship between negative emotion reaction time and mouse cursor speed we conduct three study
0;Study 1 is an experiment that tested our hypotheses to answer RQ1 (Does negative emotion influence mouse cursor distance and speed?).;﻿study be an experiment that test our hypothesis to answer rq do negative emotion influence mouse cursor distance and speed
0;Study 2 is an experiment to answer RQ2 (Can the tracking and analysis of mouse cursor distance and speed be used to infer negative emotion?);﻿study be an experiment to answer rq can the tracking and analysis of mouse cursor distance and speed be use to infer negative emotion
0;for a dichotomous outcome variable (whether or not participants received a negative emotion manipulation).;﻿for a dichotomous outcome variable whether or not participant receive a negative emotion manipulation
0;Finally, Study 3 is an observational study that further exam- ined RQ2 by investigating the efficacy of inferring the level of negative emotion (a continuous variable) rather than only a dichotomous outcome (as in Study 2).;﻿finally study be an observational study that further examine rq by investigate the efficacy of infer the level of negative emotion a continuous variable rather than only a dichotomous outcome as in study
0;Table 2 summarizes the three studies, their purposes, and the key findings.;﻿table summarize the three study their purpose and the key finding
0;In Study 1, we answered RQ1 (Does negative emotion influence mouse cursor distance and speed?).;﻿in study we answer rq do negative emotion influence mouse cursor distance and speed
0;We mani- pulated negative emotion in a single factor experimental design (negative emotion condition versus baseline condition) to examine the influence of negative emotion on mouse cursor movements.;﻿we manipulate negative emotion in a single factor experimental design negative emotion condition versus baseline condition to examine the influence of negative emotion on mouse cursor movement
0;Procedure and Manipulation We randomly assigned participants to either a negative- emotion or a baseline (that is, nonnegative-emotion) condition.;﻿procedure and manipulation we randomly assign participant to either a negative emotion or a baseline that is nonnegative emotion condition
0;After the treatment, all participants completed an identical follow-up task as we recorded and analyzed mouse cursor movements to test our hypotheses.;﻿after the treatment all participant complete an identical follow up task as we record and analyze mouse cursor movement to test our hypothesis
0;Negative-emotion condition: We induced negative emotion through an intelligence test designed to be unfair.;﻿negative emotion condition we induce negative emotion through an intelligence test design to be unfair
0;The instructions explained that the test was timed, and the score would be computed based on how many questions participants answered correctly within the allotted time.;﻿the instruction explain that the test be time and the score would be compute base on how many question participant answer correctly within the allot time
0;While participants read the instructions, a timer in the upper right hand corner of the screen began to increment.;﻿while participant read the instruction a timer in the upper right hand corner of the screen begin to increment
0;Before loading the first question, a sequence of three 8-second mes- sages stating that the question was being loaded was shown (Figure 3); during this time, the timer incremented.;﻿before load the first question a sequence of three second message state that the question be be load be show figure during this time the timer increment
0;Finally, the system showed the question, giving participants 15 seconds to answer the question before the page automatically advanced.;﻿finally the system show the question give participant second to answer the question before the page automatically advance
0;The question was difficult, requiring longer than 15 seconds to answer.;﻿the question be difficult require longer than second to answer
0;After the page automatically advanced, the cycle repeated; that is, the system again displayed the sequence of three 8-second loading messages, while the timer incremented (see Figure 3).;﻿after the page automatically advance the cycle repeat that is the system again display the sequence of three second loading message while the timer incremented see figure
0;This was followed by the second difficult question that also took longer than 15 seconds to complete.;﻿this be follow by the second difficult question that also take longer than second to complete
